Close,High,Low,Open,Volume,Return,Volatility_10,Volatility_30,RSI
40.611401185,116.651052762,39.669359463,20.567267777,500208,0.01601163,0.009792143,0.015826925,57.091928711
98.149057739,32.433668098,73.670241397,77.81906235,181268,-0.004952857,0.022777707,0.016731547,57.313797557
6.632887013,160.889185466,32.986606537,178.975344786,853726,-0.004948224,0.012791095,0.015754699,38.88384425
183.904749648,51.088059626,68.100647757,24.537023073,298351,0.00369256,0.021063639,0.010004422,55.310209677
136.640990623,129.471034698,44.579141451,10.306058822,0,0.033774336,0.018005518,0.016782074,51.255021224
29.908754916,40.076989024,9.325283068,129.783374067,2953,0.004351961,0.018688553,0.011565643,86.301456978
13.689505442,11.982781569,183.489022575,110.387975317,0,0.008348976,0.011823765,0.012140301,49.523591541
7.808640902,67.617904923,7.926032215,8.844681919,190117,0.01381095,0.01332825,0.014977314,57.387952367
33.109485157,24.147791788,58.258491848,210.651319583,0,0.039181271,0.018231436,0.006770759,72.501236302
48.368715491,12.380192969,17.745539527,207.57746486,49645,-0.079142306,0.017717373,0.019158966,64.403640933
20.716053356,13.893754214,81.408847251,132.068190972,45792,0.009056735,0.018891003,0.0061176,68.415883186
31.468572275,31.587993823,16.926208969,47.436170486,191075,0.03537022,0.02354859,0.015074382,37.238130617
184.284598122,17.206799452,55.482978535,43.410860451,168955,-0.004952509,0.003852157,0.01152102,52.793014444
45.338034533,8.333607159,3.783221285,128.833610211,897963,-0.020925222,0.063734367,0.027243453,48.513800147
149.26817352,117.002539704,148.844391963,157.512205198,58325,-0.011329426,0.013852261,0.006165574,63.340121894
216.274878674,82.725332453,59.28235408,16.343453957,32071,-0.002980745,0.01416188,0.011418449,45.924660655
34.605790546,98.697868807,23.760747102,208.314440111,45883,-0.021585858,0.028860818,0.009927692,45.575483317
139.797177488,31.847879788,2.012302876,245.503750994,208750,0.008167659,0.015018904,0.004713978,45.623103247
111.099165895,17.2944818,191.568065878,108.26582627,485893,-0.001367659,0.013199122,0.023173427,66.90929806
125.115823729,107.566203125,176.510461556,66.748463314,302424,-0.095138062,0.002904163,0.017095417,90.108483439
93.316139245,98.211721488,57.876585761,246.9600067,11741,0.01005125,0.018969206,0.004713978,66.932918094
167.74568682,169.257937559,17.00300013,167.866652159,236701,0.001150968,0.008069396,0.019232456,51.010608709
66.179996412,100.870550625,206.942226209,42.843459027,41984,-0.013874207,0.031978805,0.020796628,66.250824205
34.896116228,72.254968367,54.094779741,23.2566252,54673,-0.008889437,0.012990385,0.021032135,73.433587764
28.765709515,2.788422769,7.108498302,22.34205097,38554,0.002947801,0.011281126,0.004713978,47.922386583
68.444984108,31.34031556,2.231408503,29.249228321,7493,0.001447539,0.005772478,0.023533171,77.365448509
32.833423471,22.860611428,3.240359312,136.70707777,35744,-0.018491959,0.019307011,0.026922218,54.8508102
238.753328256,39.521005723,179.557780843,246.9600067,12844,0.002533202,0.004902483,0.007500074,60.418524193
125.509782277,57.432557804,61.860362826,246.9600067,468211,-0.018269648,0.020708987,0.005923828,54.913093136
48.458672441,73.629377811,78.723446617,32.865649747,250036,0.013152204,0.01014529,0.011330429,63.977207438
24.942218047,21.156259574,59.524535186,121.657359419,24792,0.000746021,0.011969353,0.00734485,74.990308851
64.150922617,100.929313373,53.374978814,47.472155468,839140,-0.003448647,0.025717817,0.014476714,83.042106528
64.147279181,6.112111679,14.407822649,104.177139926,1199366,0.015560067,0.020302915,0.005351696,54.672524149
118.651962273,64.879165113,2.012302876,14.428312956,1367619,-0.015280925,0.008356732,0.05519742,56.163514559
66.992700272,56.765828352,43.896460958,32.011632589,4665,0.003222279,0.008836938,0.018180001,59.870176943
238.888122782,144.521907663,115.924620183,208.021545412,37262,-0.049317652,0.013110354,0.01631852,62.758235277
61.706290039,67.795733423,35.628395137,24.148016674,36353,-0.022367633,0.017424062,0.035143372,51.651786585
56.844493711,19.939394719,114.701590426,165.387953782,3047,-0.012454502,0.002860134,0.01740765,69.754104517
52.917223919,10.553674671,15.655035305,246.9600067,17961,-0.015618329,0.044316637,0.01830258,54.429748827
41.927920495,208.861723273,12.876824626,175.122631976,263866,-0.014505619,0.025593509,0.012885597,56.949519953
