Date,Close,High,Low,Open,Volume,Return,Volatility_10,Volatility_30,RSI,MACD,MACD_Signal
08/08/1997,17.357663118,18.371618019,15.334958569,12.691733766,23488,-0.020816233,0.02224623,0.014597949,50.266103811,0.02697771,-0.063260343
08/27/2022,24.233069872,57.579983996,48.922211644,148.282919023,190934,-0.012698872,0.008987658,0.011488464,51.017264374,-0.923255667,-0.276242499
11/04/2010,159.580477972,32.344695377,61.225816665,45.790623386,124076,0.002171498,0.029095693,0.019555154,39.003621099,0.627670184,0.993234082
12/10/2025,46.225907282,64.745020986,33.412317921,32.494866141,248568,0.00326629,0.007849151,0.018541171,37.973001624,0.114058657,-0.213197276
12/16/2003,23.507554016,21.653440301,81.653831305,18.973599372,663347,-0.012407525,0.018423487,0.009501394,93.206948681,-3.429451251,-0.101763893
08/16/1995,27.671103526,6.64366542,19.55533465,13.435885824,30129,-0.011772344,0.014394655,0.005673548,58.414598977,0.067920454,0.117940645
03/25/2012,48.105230768,233.434364923,143.689342585,43.452399919,224663,-0.009152255,0.014421072,0.007677477,36.264245284,0.569884571,0.531064969
12/09/1992,2.012302876,3.285200824,2.012302876,31.926854,15135,-0.011140511,0.019084903,0.013241285,41.444182165,-0.212486858,-0.129584082
12/14/1986,29.38196154,15.862026505,12.013626092,13.679680419,33039,0.00711661,0.027043135,0.020785176,68.699912524,-0.432279025,-0.007280047
03/17/2017,30.338473501,66.860806941,113.33555316,4.342936157,26976,-0.01036744,0.012101367,0.011547423,36.215186632,0.504020811,0.55103225
06/06/2022,43.693068304,54.197169252,86.925495721,46.337491099,178111,0.000423179,0.016123882,0.011365699,53.087937013,-0.794914283,1.493256848
03/30/2026,50.39734891,68.858995603,53.267208536,170.903022651,347237,-0.009549193,0.01120007,0.009046395,82.64533975,0.221109202,-0.536173812
12/23/2005,29.13881376,79.321997035,31.083485445,188.896394766,18241,0.003385198,0.008835888,0.010227869,59.089421759,-2.349066096,-0.585989827
06/20/2003,52.080195892,48.692591308,89.918269117,45.950550392,188825,0.003693906,0.015661375,0.011259008,79.364305098,1.237837363,0.309510254
07/19/2000,190.224934368,149.704992898,85.182710669,120.218176435,433824,0.010268574,0.009958423,0.009371432,42.90563512,0.979669352,0.803727953
04/30/2018,96.46317817,48.071294333,172.006699186,62.512461412,359533,-0.018985009,0.022924462,0.004713978,52.119205395,0.23725981,2.674183354
